;fips;INTPTLAT;INTPTLON
86;18145;39.524134499999995;-85.7921742
87;22123;32.7924797;-91.4519982
88;54009;40.272645399999995;-80.578691
89;29171;40.4786055;-93.0145314
90;18097;39.7829759;-86.1357939
91;72059;18.0053378;-66.7982933
92;48475;31.513068699999998;-103.10511269999999
93;16029;42.7860724;-111.54427340000002
94;05011;33.4665491;-92.1691559
95;16021;48.773131299999996;-116.5246676
96;46023;43.206185299999994;-98.5951429
97;48459;32.7353495;-94.94118370000001
98;40061;35.2322953;-95.1095765
99;51165;38.5075848;-78.8853213
100;37009;36.443468700000004;-81.4993343
101;51177;38.1824314;-77.65722640000001
102;56035;42.767928399999995;-109.91617009999999
103;48479;27.760798699999995;-99.34075179999999
104;37175;35.210102500000005;-82.816666
105;48061;26.102922699999997;-97.4789584
106;37055;35.606268799999995;-75.76753640000001
107;12057;27.9066072;-82.3497186
108;31031;42.571323;-101.0476532
109;51117;36.687256299999994;-78.3689592
110;31129;40.176491799999994;-98.0468422
111;39003;40.7716274;-84.1061032
112;39085;41.924116299999994;-81.3926429
113;29011;37.5007989;-94.3440893
114;26089;45.1461816;-86.051574
115;08115;40.8715679;-102.3553579
116;31089;42.4592867;-98.7847662
117;13227;34.4567464;-84.49035079999999
118;28069;32.750136100000006;-88.6256306
119;17083;39.0801945;-90.361385
120;12095;28.514390600000002;-81.3232839
121;48181;33.624524;-96.67569300000001
122;48107;33.609144;-101.2987099
123;72151;18.059858399999996;-65.8598713
124;40003;36.7297032;-98.3234449
125;21193;37.24128220000001;-83.2177723
126;19121;41.3306216;-94.01518420000001
127;48005;31.2518963;-94.61113370000001
128;17011;41.40130429999999;-89.5283772
129;18157;40.3891334;-86.89355379999999
130;26037;42.950455;-84.59169490000001
131;72133;17.9529217;-66.3875885
132;37131;36.4217739;-77.39835179999999
133;46081;44.348766999999995;-103.8049474
134;08059;39.579510600000006;-105.24546200000002
135;20035;37.2345068;-96.8372468
136;51045;37.4736031;-80.2310507
137;25027;42.3116934;-71.940282
138;06031;36.072478000000004;-119.8155301
139;20115;38.3596474;-97.10277070000001
140;13291;34.833333;-83.98925679999999
141;22053;30.269529300000002;-92.8162205
142;08037;39.6269919;-106.69516940000001
143;29209;36.751003999999995;-93.47370090000001
144;16069;46.333791399999996;-116.7609091
145;13113;33.4127172;-84.4939407
146;02275;56.317416;-132.343978
147;20001;37.8842285;-95.3009448
148;19165;41.6790143;-95.30891729999999
149;34009;39.0858411;-74.8463541
150;33005;42.9254596;-72.2481828
151;24009;38.522719099999996;-76.5297621
152;35043;35.685091299999996;-106.88311909999999
153;40147;36.7043803;-95.9061545
154;48323;28.7297873;-100.316678
155;37163;34.989297799999996;-78.3711743
156;47163;36.5096806;-82.3013363
157;56011;44.5892657;-104.5672975
158;18139;39.622378499999996;-85.4664463
159;29195;39.1358403;-93.20416390000001
160;24003;38.9916174;-76.5608941
161;54101;38.483459;-80.4490515
162;17155;41.19896129999999;-89.29834740000001
163;05023;35.5663146;-92.0599504
164;27061;47.4908166;-93.6111022
165;10005;38.6732275;-75.3370237
166;18059;39.822528600000005;-85.7731503
167;29097;37.2051967;-94.33725940000001
168;53061;48.070464;-121.936784
169;17125;40.2369926;-89.91357459999999
170;53077;46.4565581;-120.7401446
171;48213;32.2116334;-95.8534183
172;18087;41.6424623;-85.4278448
173;13225;32.571324100000005;-83.83197790000001
174;54037;39.3073985;-77.86322
